estado;ibgeID;competencia;Codigo;Descrição;Existente;Sus;NaoSus
12;120001;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
12;120001;202003;33;CLINICA GERAL;8;8;0
12;120001;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
12;120001;202003;43;OBSTETRICIA CLINICA;2;2;0
12;120001;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
12;120001;202003;45;PEDIATRIA CLINICA;4;4;0
12;120001;202003;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;NA;NA
12;120001;202003;47;PSIQUIATRIA;1;1;0
12;120001;202003;49;PNEUMOLOGIA SANITARIA;1;1;0
12;120020;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
12;120020;202003;03;CIRURGIA GERAL;41;38;3
12;120020;202003;06;GINECOLOGIA;7;3;4
12;120020;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
12;120020;202003;32;CARDIOLOGIA;2;2;0
12;120020;202003;33;CLINICA GERAL;71;69;2
12;120020;202003;41;NEONATOLOGIA;1;1;0
12;120020;202003;COMPLEMENTAR;COMPLEMENTAR;COMPLEMENTAR;NA;NA
12;120020;202003;66;UNIDADE ISOLAMENTO;1;1;0
12;120020;202003;75;UTI ADULTO - TIPO II;7;0;7
12;120020;202003;78;UTI PEDIATRICA - TIPO II;1;0;1
12;120020;202003;81;UTI NEONATAL - TIPO II;4;0;4
12;120020;202003;92;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL;10;0;10
12;120020;202003;93;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU;8;0;8
12;120020;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
12;120020;202003;10;OBSTETRICIA CIRURGICA;11;8;3
12;120020;202003;43;OBSTETRICIA CLINICA;19;17;2
12;120020;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
12;120020;202003;45;PEDIATRIA CLINICA;10;10;0
12;120020;202003;68;PEDIATRIA CIRURGICA;8;8;0
12;120020;202003;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;NA;NA
12;120020;202003;47;PSIQUIATRIA;3;3;0
12;120020;202003;49;PNEUMOLOGIA SANITARIA;2;2;0
12;120038;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
12;120038;202003;33;CLINICA GERAL;29;29;0
12;120038;202003;COMPLEMENTAR;COMPLEMENTAR;COMPLEMENTAR;NA;NA
12;120038;202003;66;UNIDADE ISOLAMENTO;2;2;0
12;120038;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
12;120038;202003;43;OBSTETRICIA CLINICA;9;9;0
12;120038;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
12;120038;202003;45;PEDIATRIA CLINICA;12;12;0
12;120038;202003;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;NA;NA
12;120038;202003;47;PSIQUIATRIA;1;1;0
12;120038;202003;49;PNEUMOLOGIA SANITARIA;1;1;0
12;120040;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
12;120040;202003;01;BUCO MAXILO FACIAL;2;1;1
12;120040;202003;02;CARDIOLOGIA;4;4;0
12;120040;202003;03;CIRURGIA GERAL;115;105;10
12;120040;202003;04;ENDOCRINOLOGIA;1;0;1
12;120040;202003;05;GASTROENTEROLOGIA;1;0;1
12;120040;202003;06;GINECOLOGIA;23;17;6
12;120040;202003;08;NEFROLOGIAUROLOGIA;9;8;1
12;120040;202003;09;NEUROCIRURGIA;8;6;2
12;120040;202003;11;OFTALMOLOGIA;2;1;1
12;120040;202003;12;ONCOLOGIA;1;0;1
12;120040;202003;13;ORTOPEDIATRAUMATOLOGIA;60;56;4
12;120040;202003;14;OTORRINOLARINGOLOGIA;4;0;4
12;120040;202003;15;PLASTICA;8;3;5
12;120040;202003;16;TORACICA;4;1;3
12;120040;202003;67;TRANSPLANTE;6;5;1
12;120040;202003;90;QUEIMADO ADULTO;5;5;0
12;120040;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
12;120040;202003;31;AIDS;1;1;0
12;120040;202003;32;CARDIOLOGIA;10;7;3
12;120040;202003;33;CLINICA GERAL;192;181;11
12;120040;202003;35;DERMATOLOGIA;1;0;1
12;120040;202003;36;GERIATRIA;40;37;3
12;120040;202003;38;HEMATOLOGIA;1;0;1
12;120040;202003;40;NEFROUROLOGIA;1;0;1
12;120040;202003;41;NEONATOLOGIA;15;15;0
12;120040;202003;42;NEUROLOGIA;1;0;1
12;120040;202003;44;ONCOLOGIA;23;21;2
12;120040;202003;46;PNEUMOLOGIA;2;0;2
12;120040;202003;87;SAUDE MENTAL;18;18;0
12;120040;202003;COMPLEMENTAR;COMPLEMENTAR;COMPLEMENTAR;NA;NA
12;120040;202003;51;UTI II ADULTO - COVID-19;10;0;10
12;120040;202003;66;UNIDADE ISOLAMENTO;19;19;0
12;120040;202003;75;UTI ADULTO - TIPO II;41;33;8
12;120040;202003;78;UTI PEDIATRICA - TIPO II;11;11;0
12;120040;202003;81;UTI NEONATAL - TIPO II;18;15;3
12;120040;202003;92;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL;18;16;2
12;120040;202003;93;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU;16;13;3
12;120040;202003;94;UNIDADE DE CUIDADOS INTERMEDIARIOS PEDIATRICO;4;4;0
12;120040;202003;95;UNIDADE DE CUIDADOS INTERMEDIARIOS ADULTO;5;5;0
12;120040;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
12;120040;202003;10;OBSTETRICIA CIRURGICA;72;70;2
12;120040;202003;43;OBSTETRICIA CLINICA;46;44;2
12;120040;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
12;120040;202003;45;PEDIATRIA CLINICA;95;55;40
12;120040;202003;68;PEDIATRIA CIRURGICA;18;16;2
12;120040;202003;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;NA;NA
12;120040;202003;34;CRONICOS;20;20;0
12;120040;202003;47;PSIQUIATRIA;55;53;2
12;120040;202003;48;REABILITACAO;1;1;0
12;120040;202003;84;ACOLHIMENTO NOTURNO;23;23;0
12;120040;202003;HOSPITAL DIA;HOSPITAL DIA;HOSPITAL DIA;NA;NA
12;120040;202003;69;AIDS;3;3;0
12;120045;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
12;120045;202003;03;CIRURGIA GERAL;9;9;0
12;120045;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
12;120045;202003;33;CLINICA GERAL;12;12;0
12;120045;202003;COMPLEMENTAR;COMPLEMENTAR;COMPLEMENTAR;NA;NA
12;120045;202003;66;UNIDADE ISOLAMENTO;1;1;0
12;120045;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
12;120045;202003;43;OBSTETRICIA CLINICA;3;3;0
12;120045;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
12;120045;202003;45;PEDIATRIA CLINICA;3;3;0
12;120045;202003;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;NA;NA
12;120045;202003;47;PSIQUIATRIA;1;1;0
12;120045;202003;49;PNEUMOLOGIA SANITARIA;1;1;0
27;270030;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
27;270030;202003;01;BUCO MAXILO FACIAL;6;6;0
27;270030;202003;02;CARDIOLOGIA;20;4;16
27;270030;202003;03;CIRURGIA GERAL;113;94;19
27;270030;202003;05;GASTROENTEROLOGIA;7;0;7
27;270030;202003;08;NEFROLOGIAUROLOGIA;30;20;10
27;270030;202003;09;NEUROCIRURGIA;17;15;2
27;270030;202003;11;OFTALMOLOGIA;5;5;0
27;270030;202003;12;ONCOLOGIA;26;8;18
27;270030;202003;13;ORTOPEDIATRAUMATOLOGIA;107;74;33
27;270030;202003;14;OTORRINOLARINGOLOGIA;3;3;0
27;270030;202003;15;PLASTICA;12;6;6
27;270030;202003;16;TORACICA;10;6;4
27;270030;202003;67;TRANSPLANTE;10;5;5
27;270030;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
27;270030;202003;32;CARDIOLOGIA;14;14;0
27;270030;202003;33;CLINICA GERAL;178;171;7
27;270030;202003;40;NEFROUROLOGIA;9;9;0
27;270030;202003;42;NEUROLOGIA;6;4;2
27;270030;202003;44;ONCOLOGIA;56;56;0
27;270030;202003;46;PNEUMOLOGIA;2;2;0
27;270030;202003;COMPLEMENTAR;COMPLEMENTAR;COMPLEMENTAR;NA;NA
27;270030;202003;51;UTI II ADULTO - COVID-19;9;0;9
27;270030;202003;66;UNIDADE ISOLAMENTO;1;1;0
